CustomerID,ProductID,QuantitySold,SalePrice,DateOfSale,Channel,ReturnStatus,Age,Gender,Region,Occupation,LoyaltyTier,Category,SubCategory,ManufacturingCost,SellingPrice,Discount,Stock,CampaignID,Medium,ConversionRate,CustomerReach
CUST0551,PROD072,2,458.6,2024-11-30,Offline,Returned,52,Other,North,Artist,Silver,Electronics,Phones,302.12,458.6,0,170,CAMP024,Email,0.05,8351
CUST0799,PROD061,4,285.13,2024-09-01,Offline,Not Returned,69,Other,South,Lawyer,Gold,Books,Non-Fiction,149.78,285.13,0,91,CAMP002,Radio,0.17,3223
CUST0415,PROD093,4,85.43,2024-11-26,Online,Returned,35,Male,North,Teacher,Silver,Beauty,Skincare,69.22,85.43,15,162,CAMP046,Email,0.23,700
CUST0217,PROD077,3,190.18,2024-09-15,Online,Returned,41,Other,East,Doctor,Gold,Books,Non-Fiction,139.46,190.18,20,189,CAMP025,Print,0.03,8674
CUST0958,PROD007,2,554.38,2025-02-27,Online,Not Returned,40,Male,South,Lawyer,Platinum,Clothing,Jackets,392.07,554.38,0,110,CAMP048,TV,0.13,6770
CUST0474,PROD015,1,138.05,2023-06-20,Online,Not Returned,58,Other,West,Lawyer,Silver,Electronics,Cameras,109.31,138.05,15,48,CAMP010,Email,0.09,6096
CUST0284,PROD069,2,586.76,2024-05-26,Online,Returned,69,Female,North,Engineer,Silver,Electronics,Laptops,368.7,586.76,15,35,CAMP044,Radio,0.12,8434
CUST0796,PROD025,1,101.3,2024-10-14,Online,Returned,46,Male,West,Artist,Bronze,Books,Fiction,65.6,101.3,15,153,CAMP026,Radio,0.21,3744
CUST0109,PROD069,3,586.76,2024-10-28,Offline,Not Returned,25,Male,West,Doctor,Bronze,Electronics,Laptops,368.7,586.76,15,35,CAMP041,Social Media,0.07,1206
CUST0301,PROD078,2,258.77,2024-04-07,Online,Returned,58,Female,North,Teacher,Gold,Beauty,Makeup,167.41,258.77,20,179,CAMP043,Print,0.2,7690
